1233566006871,iUSD_CAD_AUTO_60_1440_1_1233566006871,USD/CAD,1,0.03,0
1233585883217,iUSD_JPY_AUTO_60_1440_1_1233585883217,USD/JPY,1,0.03,0
1233587836515,iAUD_USD_AUTO_60_1440_1_1233587836515,AUD/USD,1,0.03,0
1233627458091,iAUD_USD_AUTO_60_1440_1_1233627458091,AUD/USD,1,0.03,0
1233632607287,iAUD_USD_AUTO_60_1440_1_1233632607287,AUD/USD,1,0.03,0
1233653418987,iUSD_CAD_AUTO_60_1440_1_1233653418987,USD/CAD,1,0.03,0
1233659737930,iUSD_CHF_AUTO_60_1440_0_1233659737930,USD/CHF,0,0.03,0
1233669953380,iUSD_CAD_AUTO_60_1440_1_1233653418987,USD/CAD,1,0.03,1
1233670478353,iEUR_USD_AUTO_60_1440_1_1233670478353,EUR/USD,1,0.03,0
1233670493249,iUSD_CHF_AUTO_60_1440_0_1233670493249,USD/CHF,0,0.03,0
1233671294805,iAUD_USD_AUTO_60_1440_1_1233671294805,AUD/USD,1,0.03,0
1233678215543,iUSD_JPY_AUTO_60_1440_1_1233678215543,USD/JPY,1,0.03,0
1233678320097,iAUD_USD_AUTO_60_1440_1_1233678320097,AUD/USD,1,0.03,0
1233689994007,iEUR_USD_AUTO_60_1440_1_1233689994007,EUR/USD,1,0.03,0
1233691930269,iAUD_USD_AUTO_60_1440_1_1233691930269,AUD/USD,1,0.03,0
1233698424258,iEUR_USD_AUTO_60_1440_1_1233698424258,EUR/USD,1,0.03,0
1233732290995,iAUD_USD_AUTO_60_1440_1_1233691930269,AUD/USD,1,0.03,1
1233733266090,iUSD_CAD_AUTO_60_1440_1_1233733266090,USD/CAD,1,0.03,0
1233739048156,iEUR_USD_AUTO_60_1440_1_1233689994007,EUR/USD,1,0.03,1
1233739048156,iEUR_USD_AUTO_60_1440_1_1233698424258,EUR/USD,1,0.03,1
1233758725869,iUSD_CAD_AUTO_60_1440_1_1233733266090,USD/CAD,1,0.03,1
1233760308916,iAUD_USD_AUTO_60_1440_1_1233760308916,AUD/USD,1,0.03,0
1233761685154,iUSD_JPY_AUTO_60_1440_1_1233761685154,USD/JPY,1,0.03,0
1233792003395,iUSD_JPY_AUTO_60_1440_1_1233678215543,USD/JPY,1,0.03,1
1233792003395,iUSD_JPY_AUTO_60_1440_1_1233761685154,USD/JPY,1,0.03,1
1233792003395,iUSD_JPY_AUTO_60_1440_1_1233585883217,USD/JPY,1,0.03,1
1233795715678,iGBP_USD_AUTO_60_1440_0_1233795715678,GBP/USD,0,0.03,0
1233829043854,iGBP_USD_AUTO_60_1440_0_1233795715678,GBP/USD,0,0.03,1
1233841876598,iGBP_USD_AUTO_60_1440_0_1233841876598,GBP/USD,0,0.03,0
1233871688951,iUSD_CHF_AUTO_60_1440_0_1233670493249,USD/CHF,0,0.03,1
1233907114943,iGBP_USD_AUTO_60_1440_0_1233841876598,GBP/USD,0,0.03,1
1233921848228,iUSD_CAD_AUTO_60_1440_1_1233921848228,USD/CAD,1,0.03,0
1233943648679,iUSD_CAD_AUTO_60_1440_1_1233921848228,USD/CAD,1,0.03,1
1233946438633,iUSD_CHF_AUTO_60_1440_0_1233946438633,USD/CHF,0,0.03,0
1234146541764,iUSD_JPY_AUTO_60_1440_0_1234146541764,USD/JPY,0,0.03,0
1234159482552,iUSD_JPY_AUTO_60_1440_0_1234159482552,USD/JPY,0,0.03,0
1234166436159,iUSD_CAD_AUTO_60_1440_1_1234166436159,USD/CAD,1,0.03,0
1234224000200,iEUR_USD_AUTO_60_1440_1_1233670478353,EUR/USD,1,0.03,1
1234224000650,iUSD_CAD_AUTO_60_1440_1_1234166436159,USD/CAD,1,0.03,1
1234224000650,iUSD_CAD_AUTO_60_1440_1_1233566006871,USD/CAD,1,0.03,1
1234224000770,iAUD_USD_AUTO_60_1440_1_1233671294805,AUD/USD,1,0.03,1
1234224000770,iAUD_USD_AUTO_60_1440_1_1233760308916,AUD/USD,1,0.03,1
